QouteText,is_legal
"Airbnb reserves the right to modify these Terms at any time in accordance with this provision.If we make changes to these Terms, we will post the revised Terms on the Airbnb Platform and update the “Last Updated” date at the top of these Terms.We will also provide you with notice of the modifications by email at least thirty (30) days before the date they become effective.If you disagree with the revised Terms, you may terminate this Agreement with immediate effect.We will inform you about your right to terminate the Agreement in the notification email.If you do not terminate your Agreement before the date the revised Terms become effective, your continued access to or use of the Airbnb Platform will constitute acceptance of the revised Terms.",1
It also enables us to serve you advertising and other relevant content on and off of the Academia.edu Services.,1
"Information you have shared with others (e.g., Reviews, forum postings) may continue to be publicly visible on the Airbnb Platform, even after your Airbnb Account is cancelled.However, attribution of such information to you will be removed.",1
"We use cookies and other similar technologies, such as web beacons, pixels, and mobile identifiers.",1
"The Airbnb Platform and Collective Content is provided “as is”, without warranty of any kind",1
"15.1 This Agreement shall be effective for a 30-day term, at the end of which it will automatically and continuously renew for subsequent 30-day terms until such time when you or Airbnb terminate the Agreement in accordance with this provision.15.2 You may terminate this Agreement at any time by sending us an email.If you cancel your Airbnb Account as a Host, any confirmed booking(s) will be automatically cancelled and your Guests will receive a full refund.If you cancel your Airbnb Account as a Guest, any confirmed booking(s) will be automatically cancelled and any refund will depend upon the terms of the Listing’s cancellation policy.",1
a binding arbitration administered by the American Arbitration Association (“AAA”),1
"To promote the Airbnb Platform and to increase the exposure of Listings to potential Guests, Listings and other Member Content may be displayed on other websites, in applications, within emails, and in online and offline advertisements.",1
"You and Airbnb acknowledge and agree that we are each waiving the right to participate as a plaintiff or class member in any purported class action lawsuit, class-wide arbitration, private attorney-general action, or any other representative proceeding as to all Disputes.",1
"If you choose to decline cookies, some parts of the Airbnb Platform may not work as intended or may not work at all.",1
"If Airbnb undertakes or is involved in any merger, acquisition, reorganization, sale of assets, bankruptcy, or insolvency event, then we may sell, transfer or share some or all of our assets, including your information",1
"use any robots, spider, crawler, scraper or other automated means or processes to access",1
"Please note that if you request the erasure of your personal information: We may retain some of your personal information as necessary for our legitimate business interests, such as fraud detection and prevention and enhancing safety.For example, if we suspend an Airbnb Account for fraud or safety reasons, we may retain certain information from that Airbnb Account to prevent that Member from opening a new Airbnb Account in the future.We may retain and use your personal information to the extent necessary to comply with our legal obligations.For example, Airbnb and Airbnb Payments may keep some of your information for tax, legal reporting and auditing obligations.<",1
"Last Updated: April 16, 2018",1
"Unless you provide specific consent, Airbnb does not claim any ownership rights in any Member Content and nothing in these Terms will be deemed to restrict any rights that you may have to use or exploit your Member Content.",1
Third parties may also use such tracking technologies to serve ads that they believe are most likely to be of interest to you and measure the effectiveness of their ads both on the Airbnb Platform and on other websites and online services.,1
"we require certain information such as your first name, last name",1
the Airbnb Platform currently does not respond to a “Do Not Track” signal in the HTTP header from your browser or mobile application,1
"IndemnificationYou agree to release, defend (at Airbnb’s option), indemnify, and hold Airbnb and its affiliates and subsidiaries",1
"Airbnb and Airbnb Payments may disclose your information, including personal information, to courts, law enforcement or governmental authorities, or authorized third parties, if and to the extent we are required or permitted to do so by law or if such disclosure is reasonably necessary: (i) to comply with our legal obligations, (ii) to comply with legal process and to respond to claims asserted against Airbnb, (iii) to respond to verified requests relating to a criminal investigation or alleged or suspected illegal activity or any other activity that may expose us, you, or any other of our users to legal liability, (iv) to enforce and administer our Terms of Service, the Payment Terms or other agreements with Members, or (v) to protect the rights, property or personal safety of Airbnb, its employees, its Members, or members of the public.These disclosures may be necessary to comply with our legal obligations, for the protection of your or another person's vital interests or for the purposes of our or a third party’s legitimate interest in keeping the Airbnb Platform secure, preventing harm or crime, enforcing or defending legal rights, or preventing damage.Where appropriate, we may notify Members about legal requests",1
"we work with a number of analytics partners, including Google Analytics",1
"6.4 Data Retention and Erasure.We generally retain your personal information for as long as is necessary for the performance of the contract between you and us and to comply with our legal obligations.If you no longer want us to use your information to provide the Airbnb Platform to you, you can request that we erase your personal information and close your Airbnb Account.",1
com Email Us Please email Akamai Sales and we will contact you within 1-2 business days.,1
By proceeding you agree to the recording and the use of your personal data.,1
Get In Touch Chat with Sales Akamai will record this transcript.,1
Contact Us Contact a member of our sales team: Contact us Contact A Representative Have questions?,1
Call us Customer Support For immediate customer support please call +1-6174444699 or email us at support@akamai.,1
"Alternatively, you can go to the homepage of the website or browse through following key sections of the website: Akamai Solutions Web Performance Solutions Media Delivery Solutions Cloud Security Solutions Network Operator Solutions LUNA Control Center Services & Support Industry Offerings Automotive Industry Business Services Financial Services Health Care & Life Sciences Hotel & Travel Manufacturing Industry Media & Entertainment Gaming Public Sector Retail & Consumer Goods Software & Technology Software as a Service Startups What We Do What We Do Overview Intelligent Edge Platform Free Trials Solutions by Topic Solutions by Topic Security Web Performance Media Delivery DevOps Solutions by Industry Solutions by Industry Financial Services Hotel & Travel Media & Entertainment Public Sector Retail & Consumer Goods Software & Technology Products Products Security Web Performance Media Delivery Network Operator Services Developers Resources Resources Case Studies Insights Our Thinking Our Thinking Overview Information Security Threat Advisories For CIOs State of the Internet Report Document Library CDN Learning Center Glossary Documentation For Developers Akamai Blog Community Support Support Global Support Phone Numbers Support Resources Support on Community +1-877-425-2832 (U. S.  Only) +1-617-444-4699 support@akamai.",1
"15.1 This Agreement shall be effective for a 30-day term, at the end of which it will automatically and continuously renew for subsequent 30-day terms until such time when you or Airbnb terminate the Agreement in accordance with this provision.15.2 You may terminate this Agreement at any time by sending us an email.If you cancel your Airbnb Account as a Host, any confirmed booking(s) will be automatically cancelled and your Guests will receive a full refund.If you cancel your Airbnb Account as a Guest, any confirmed booking(s) will be automatically cancelled and any refund will depend upon the terms of the Listing’s cancellation policy.",1
Chat live now*Chat offline Email Fill out a simple form and an Akamai representative will contact you shortly.,1
"Any termination of your use of the DeleteMe service, whether initiated by you or by Abine, won't affect any of your or Abine's rights and obligations under these Terms that have arisen before the effective date of such termination.",1
This refund policy does not apply if we've terminated your account for misuse outlined in this Agreement.,1
"Upon cancelling your DeleteMe subscription, Abine will cease any future billing.",1
"If you cancel anytime after your first DeleteMe Privacy Report, you are entitled to a prorated refund based on the time remaining in your DeleteMe subscription.",1
You are entitled to a full refund if you cancel before your first DeleteMe Privacy Report.,1
"You have the right to cancel your DeleteMe subscription at any time, for any reason, and can do so by emailing us at support@joindeleteme.",1
You acknowledge that you're registering for a recurring subscription and will be automatically billed at the end of the subscription billing cycle.,1
"You are not to: Impersonate anyone, falsely state or otherwise misrepresent your affiliation with any person or entity, or knowingly provide any fraudulent, misleading, or inaccurate information; Defame, abuse, harass, stalk, threaten, or otherwise violate others' rights, including without limitation others' privacy rights or rights of publicity; Access or use (or attempt to access or use) another user's account without permission; Transmit any software or materials that contain any viruses, worms, trojan horses, defects, or other items or computer code of a destructive nature; Modify, adapt, sublicense, translate, sell, reverse engineer, decompile, or disassemble any portion of the site or services; “Frame” or “mirror” any portion of the Site or Services; Use any robot, spider, site search/retrieval application, or other manual or automatic device or process to retrieve, index, data mine, or in any way reproduce or circumvent the navigational structure or presentation of our site or services; Harvest or collect any other users' information from the site or our services; Use our site or services for any illegal activity; or Probe, scan or test the vulnerability of our site or services, breach their security or authentication measures, or take any action that imposes an unreasonable or disproportionately large load on our site infrastructure.",1
Your failure to comply with our Terms may result in us terminating your access to and use of our site and services.,1
We reserve the right to take preventative or corrective actions to protect ourselves and our users from anyone's unacceptable use.,1
We don't allow our Site or Services to be used for illegal activities or activities that we find improper for any reason whatsoever.,1
Any use of such marks will apply to the benefit of their respective owners.,1
"The text marks ""ABINE,"" “ONLINE PRIVACY STARTS HERE,” “DELETEME,” “DONOTTRACKME,” and “MASKME,” as well as their associated logos, are our trademarks, and you may not use them in connection with any service or products other than those we provide in any manner that is likely to cause confusion among customers, or in any manner that disparages or discredits Abine (although we're happy to have you use our Site Content for noncommercial, educational, or news-related use if you properly attribute it to us).",1
"Except as otherwise expressly permitted by these Terms, any use, redistribution, sale, decompilation, reverse engineering, disassembly, translation, or other reduction of such software to human-readable form is prohibited.",1
"All the text, images, marks, logos, compilations (meaning the collection, arrangement, and assembly of information) and other content on Abine's website (""Site Content""), and all software embodied in Abine's website, applications, or otherwise (“Software”) used by to deliver the Services is proprietary to us.",1
We urge you to read that policy now and revisit occasionally because we may update it.,1
Abine is dedicated to consumer privacy rights and operates the DeleteMe service under our privacy policy.,1
"If something crazy happens, it's not our fault.",1
"You acknowledge that Abine will not be liable for any failure to comply with these Terms to the extent that such failure arises from factors outside Abine's reasonable control, like natural disasters.",1
"We're from Massachusetts, so that's where we'll go to court if we ever get on each other's nerves.",1
"Use our tools and services for good, not evil, or we'll kick you out.",1
You and Abine agree that all matters arising from or relating to the use and operation of our site or services will be governed by the substantive laws of Massachusetts.,1
"IN THE EVENT THAT WE ARE HELD LIABLE TO YOU, YOU WILL ONLY BE ENTITLED TO RECOVER YOUR ACTUAL DAMAGES.",1
"You consent to the personal jurisdiction of such courts over you, stipulate to the fairness and convenience of proceeding in such courts, and covenant not to assert any object to proceeding in such courts.",1
"However, some of your personal data is shared with third parties in order to deliver some of our services (see our Data Use Chart and Third Party Data Sharing).",1
"You agree that in any event, Abine's liability is limited to fees you actually paid to Abine.",1
Our business is giving you back control over your own data - so we do not sell your personal information to anyone.,1
CCPA: Do not sell my personal information We do not sell your personal information.,1
"If you have any questions about this policy, please contact us at legal@getabine.",1
"At the end of six months, we'll delete all the personal information you supplied for the opt-out processes and only keep the transaction information, account information (including username and email), and our work notes and logs (including any customer support emails).",1
We'll retain all your information for six months in case you reactivate your service.,1
"If you cancel the service or stop using it, we will put your data into a queue for deletion.",1
"These data brokers, not Abine, control the information they require for removal, and it can be some or all of the the information such as name, address, and age that you provide to us for this purpose.",1
Removing your public listings requires us to share some information with data brokers so they can identify the correct listings to remove.,1
"In these cases, Abine retains the rights to your data and these parties can't sell or share or use your data for anything else.",1
"We rely on some third parties to complete certain parts of our service, such as physically mail letters for us and provide technical services, like cloud hosting and email management.",1
"We try not to share information with any other parties, but there are a few things we have to: We need to share some of your information to complete payment transactions, such as providing credit card information to authorize charges.",1
Information we share (in order to complete the service).,1
This is the information we need to find and remove your public listings from the websites on our removal list.,1
"In order to provide our service, we collect three kinds of information from you: Information we need to complete the purchase transaction (such as your payment method); Information we need to connect you to our service, such as an email address, and; Information we need to opt you out of having your personal information shared online (such as your name, address, age, etc. )",1
"Except as required by law, Abine, Inc.  will not: Track, store, or transmit information about users' behavioral data (to include web browsing activity) to any third party; Sell or share your personal information to third parties so they can market to you; Deliver or help others deliver any behavioral advertising to users.",1
Abine Inc.  will not turn over any of data we have unless we're legally required to.,1
DeleteMe Mobile Terms of Service All DeleteMe Terms of Service are hereby incorporated in and made a part of these DeleteMe Mobile Terms of Service as if set forth in full herein and are an integral part of these Terms of Service.,1
"Finally, you won't ever use the our site or services in violation of U. S.  export laws or regulations.",1
"If you choose to gain access to our site or services from locations other than Massachusetts, which is likely, you will also be responsible for complying with all local laws of any such other location.",1
"You agree that all claims you may have arising from or relating to the operation, use, or other exploitation of the DeleteMe service will be heard and resolved in the federal and state courts located in Massachusetts.",1
"As such, the DeleteMe service, content and site are provided on an ""as is"" basis, without warranties of any kind, either express or implied, including, without limitation, implied warranties of merchantability, fitness for a particular purpose, or non-infringement.",1
"IF YOU ACCEPT THIS AGREEMENT OR USE THE DELETEME SERVICE OR APPLICATION, YOU ARE ENTERING INTO THIS AGREEMENT WITH ABINE.",1
You acknowledge that DeleteMe's removal list depends on the listed websites' opt-out procedures and business practices and thus is subject to change.,1
These Terms of Service describe the terms and conditions on which Abine provides the DeleteMe service to you.,1
"Our DeleteMe service allows a user (""user"" or ""you"") to manage personal information and control how other websites and businesses display such personal information.",1
"The following Terms of Service (“Terms,” “Agreement”) govern your use of DeleteMe, a service of Abine, Inc.  DeleteMe helps protect your privacy.",1
DeleteMe Terms of Service Here are the ground rules if you're using our stuff.,1
"For all other support-related questions, please visit abine.",1
"If you have any questions about this policy, please contact us at legal@getabine.",1
"TO THE EXTENT PERMITTED BY LAW, YOU AGREE THAT YOUR RECOVERY FOR ANY ALLEGED NEGLIGENCE OR MISCONDUCT BY GREEN DOT SHALL BE LIMITED TO THE TOTAL AMOUNT LOADED ON THE MASKED CARD.",1
THIS PROVISION SHALL NOT BE EFFECTIVE TO THE EXTENT OTHERWISE REQUIRED BY LAW.,1
"IN NO EVENT SHALL YOU BE ENTITLED TO RECOVER ANY INDIRECT, CONSEQUENTIAL, EXEMPLARY OR SPECIAL DAMAGES (WHETHER IN CONTRACT, TORT OR OTHERWISE), EVEN IF YOU HAVE ADVISED US OF THE POSSIBILITY OF SUCH DAMAGES.",1
"For more information about how the DeleteMe service works, please visit our Frequently Asked Questions.",1
"If any of the terms of this Agreement are invalid, changed by applicable law or declared invalid by order of court or regulatory authority, the remaining terms of this Agreement shall not be affected, and this Agreement shall be interpreted as if the invalid terms had not been included in this Agreement.",1
"You acknowledge that Abine will not be liable for any failure to comply with these Terms to the extent that such failure arises from factors outside Abine's reasonable control, like natural disasters.",1
"If something crazy happens, it's not our fault.",1
"You agree to reimburse Abine, Inc. , our Financial Institution Partners, other Abine users, or third parties for any and all such liability.",1
"You are responsible for all Reversals, claims, fees, fines, penalties, and other liability incurred by Abine, Inc. , our Financial Institution Partners, other Abine users, or third parties arising from your breach of these Terms or your use of Abine’s services, including Masked Cards.",1
You agree that you won't sue us because you failed to ensure that the Masked Card has sufficient funds on it. ),1
"(In English, not legalese: let's say that you use a Masked Card to pay your electrical bill but you don't load enough money on the card to make a payment, and the company shuts off your electricity.",1
"You acknowledge that your use of Masked Cards may have unintended consequences, possibly including direct, special, indirect, consequential and other damages, and you agree that you won't hold Abine liable for these consequences.",1
"It's unlikely, but bad things could happen.",1
"We don't provide legal advice, so please don't rely on our service for legal matters.",1
"This Agreement sets forth the entire understanding and agreement between you and us, whether written or oral, with respect to its subject matter and supersede any prior or contemporaneous understandings or agreements with respect to their subject matter.",1
"Legal policies can be tedious, but please read up.",1
"In addition, we do sometimes place online advertisements or pay affiliate partners for subscriptions sales they have generated for us, and these systems may use IP addresses or order numbers to identify these sales.",1
"If you don't agree to these terms and conditions, you aren't permitted to use the DeleteMe services, our apps, or our website.",1
"Data brokers change, so DeleteMe might change too.",1
This Limited Power of Attorney will remain in full force and effect until you cancel your service with Abine.,1
"You grant Abine a Limited Power of Attorney to act on your behalf for the purposes of performing the DeleteMe service to control your personal information online, including submitting opt-out requests to and communicating with third-party websites like data brokers or aggregators or other parties who have control over this content, signing opt-out documents, creating accounts for you, and any other action Abine reasonably deems necessary to remove, suppress, or opt-out your personal information from unwanted sources in fulfillment of your order.",1
You're letting us do the work of removing your personal info from data broker websites.,1
"You will indemnify and hold harmless Abine, its parents, subsidiaries, customers, vendors, officers, and employees from any liability, damage or cost from any claim or demand associated with your use of the DeleteMe service or site.",1
"Also, because lawyers often make a lot of clever arguments, you agree regardless of any claim you or lawyer comes up with the most you could ever recover in any claim brought by you against Abine is the total amount of fees you actually paid to Abine over the entire time you used the DeleteMe service.",1
You agree that you won't sue us because you lost the opportunity to spend more time with your brother. ),1
"Because we deleted you from Intelius, it takes him much longer to find you.",1
"(In English, not legalese: let's say that you have a long-lost brother who's looking for you via Intelius.",1
"You acknowledge that your use of the DeleteMe service may have unintended consequences, possibly including direct, special, indirect, consequential and other damages, and you agree that you won't hold Abine liable for these consequences.",1
"It's unlikely, but bad things could happen.",1
"You recognize that DeleteMe will use good faith, reasonable efforts to help you submit these opt-out requests, but that we cannot guarantee that third parties will honor the requests or remove your data.",1
"DeleteMe allows subscribers like you to request that third party websites, such as data brokers and information aggregators, remove or suppress your personal information from their websites.",1
"This service is meant to be used by adults only (18+) for themselves, or on behalf of a minor for whom they are the parent or legal guardian.",1
"We can't control how these third-party data brokers will treat your personal information, although it is only provided to them so they can opt you out of their public databases.",1
"To fulfil your opt-out requests, we have to send your information to data brokers, which necessarily requires sharing your data with them.",1
"You retain ownership over all the personal information that you submit to the DeleteMe service, and Abine will never sell it.",1
"If you provide any information that is or that we suspect is untrue, inaccurate, not current or incomplete, Abine has the right to suspend or terminate your subscription and refuse any and all current or future use of your subscription.",1
"You agree that all the information you're submitting to DeleteMe in connection with the services is and will be true and about you, not someone else.",1
Your continued use of the site or services after we've posted revised terms signifies your acceptance of the revised terms.,1
You can tell when we last revised this agreement was by looking at the “last updated” date at the top of this Agreement.,1
DeleteMe will not remove all of your information from the Internet.,1
Please see our Privacy Policy or Requesting or Deleting your Data for more information.,1
"We don't publicly share our code because we're trying to avoid getting ripped off, not because we have deep, dark secrets.",1
"By downloading and/or using this software, including any later revisions of it that we make available to you, you're agreeing to be bound by this Agreement.",1
They are encrypted using industry standard 256-bit AES encryption.,1
This data is stored locally in an encrypted database that we do not have the ability to decrypt.,1
"Your data in MaskMe & MaskMe Mobile: When you use MaskMe & MaskMe Mobile, you retain ownership over all of your accounts, passwords, browsing activity, and personal data.",1
"If you would like to view the source code under a non-disclosure agreement for academic, research, or other non-commercial purposes, please contact info@abine.",1
"We don't publicly share our code because we're trying to avoid getting ripped off, not because we have deep, dark secrets.",1
Reverse engineering or use of the software other than as specifically provided herein is strictly prohibited.,1
"You may not remove any product identification, copyright notices, or other proprietary restrictions from Abine.",1
"You may not copy, adapt, alter, modify, translate, or create derivative works of the Software without our written authorization, which we may withhold in our sole discretion for any reason.",1
Termination for breach of terms: This Agreement shall immediately terminate upon any breach of its terms.,1
"If you choose to use the Sync feature to access your MaskMe & MaskMe Mobile data from any device, that means we're storing that data in an encrypted form on our servers - we can't read your passwords or see your accounts.",1
"Common Provisions for MaskMe & MaskMe Mobile Free and MaskMe & MaskMe Mobile Premium All provisions in this section apply to both MaskMe & MaskMe Mobile Free and MaskMe & MaskMe Mobile Premium, even if only MaskMe is mentioned.",1
"Initial purchase refund: Abine will refund the full amount you paid for Blur (formerly DoNotTrackMe) or Blur Mobile (formerly DoNotTrackMe Mobile) Premium if: (1) we receive a clearly-stated refund request from you within 14 days of the date of purchase, (2) you provide proof of purchase, and (3) we're able to locate you as a Premium user with the data you provide us.",1
Customer also agrees that Abine has the right to delete all of customer's MaskMe & MaskMe Mobile data that Abine stores on its servers if customer's account remains unpaid for more than 60 days.,1
"If the subscription fee is not paid on time for any reason, then customer agrees that MaskMe & MaskMe Mobile Premium will lose its Premium status and revert to Free status, losing Premium features.",1
Such termination will result in termination of MaskMe premium service for all of customer's devices and no further billing of customer's credit card beyond the current pay period.,1
Customer has the right to terminate the subscription at any time.,1
"Customer agrees that once the MaskMe & MaskMe Mobile subscription fee is due, Abine or our credit card processing company will charge it automatically to the credit card that customer provided with the original purchase of the MaskMe & MaskMe Mobile license, and that such charges will continue indefinitely.",1
"Subscriptions, cancellations, and renewals: MaskMe & MaskMe Mobile Premium is a subscription, so customer pays a recurring license fee to Abine.",1
"If a different user wishes to use MaskMe & MaskMe Mobile, that user shall purchase his or her own MaskMe & MaskMe Mobile Premium subscription.",1
"One MaskMe & MaskMe Mobile Premium license shall be granted per customer, per subscription.",1
Please note that you can cancel your Blur or Blur Mobile Premium subscription at any time; the refund only applies to the initial 14 days following your original purchase.,1
"License: You are hereby granted a non-exclusive, non-transferable, non-sublicensable limited license to use the software (in object code form only) for non-commercial uses consistent with the description of the software we provided with it, the remainder of this Agreement, our Privacy Policy, and our Terms of Service.",1
"MaskMe & MaskMe Mobile uses unique identifiers that are not tied to you or your IP address and are used to help you receive software updates, as well as to validate masked email requests.",1
"Payments: If you're using MaskMe & MaskMe Mobile Premium, we may use service providers to process certain features, including but not limited to payments, phone calls, and text messaging.",1
Things could change. We may amend or terminate any terms of this Agreement at any time and such amendment or termination will be effective at the time we post the revised terms on the site.,1
"Products Blur DeleteMe Company About Us Team Careers Trust Mission Who We Are Privacy Policy Do not sell my personal information Contact Blog Press Support Abine Inc.  - The Online Privacy Company Abine, Inc. , PO Box 410009 Cambridge, MA 02141 © Abine, Inc.  2019 Do not sell my personal information",1
"If you have any questions about this policy, please contact us at legal@getabine.",1
We urge you to read that policy now and revisit occasionally because we may update it.,1
Privacy: Abine is dedicated to consumer privacy rights and operates MaskMe & MaskMe Mobile under our privacy policy.,1
"The parties consent to the jurisdiction of such courts, agree to accept service of process by mail, and waive any jurisdictional or venue defenses otherwise available.",1
Jurisdiction: This Agreement is governed by the law of Massachusetts.,1
"This license will terminate automatically if you fail to comply with any provision stated herein, and we may terminate this license manually if we learn of any prohibited uses of the software.",1
You may terminate this Agreement at any time by uninstalling MaskMe & MaskMe Mobile and deleting applicable files.,1
You can view this chart to see exactly what data we have and how it's stored.,1
Termination: This license is effective until either party terminates it.,1
"In no event shall we or any of our offices, directors, employees, or consultants be liable for damages of any sort (whether direct, indirect or consequential) resulting from the use of the software.",1
"We disclaim any and all warranties, express or implied, including the warranties of merchantability and fitness for a particular purpose.",1
"Warranties and limitations of liability: This software is provided ""AS IS"" with NO WARRANTY of any type.",1
You may delete the MaskMe mobile app through your mobile device's application management options.,1
"Note that MaskMe is a browser add-on, not a traditional program, so it will not appear in your computer's list of programs.",1
Uninstall instructions: You may uninstall MaskMe & MaskMe Mobile at any time by going to your browser's preferences and disabling or deleting it.,1
